gene_id,cancer_cohort,effect_size,effect_size_label,adjusted_p_value,de_score,cancer_association_raw_score,cancer_association_score,cancer_association_availability,clinical_category,clinical_direction,clinical_score,clinical_availability,cross_cancer_cohort_count,cross_cancer_score,cross_cancer_availability,functional_description,pathway_count,final_score,rank,scoring_version
ANKZF1,TCGA-COAD,0.9424039143783034,log2_fold_change,1.2107237445212607e-23,0.6665158078489688,0.014133,0.014133,available,unprognostic - unfavorable,unfavorable,0.0,available,2,0.5,available,ankyrin repeat and zinc finger peptidyl tRNA hydrolase 1,1,0.2951622019622422,10586,1.0
CDH20,TCGA-COAD,-0.2757000852805731,log2_fold_change,0.0081460931889326,0.18057800478437966,0.0,0.0,no_support,,,0.0,no_support,3,1.0,available,cadherin 20,0,0.2951445011960949,10587,1.0
DSC1,TCGA-COAD,-0.2756143356643357,log2_fold_change,0.0323484346075171,0.18051335100536625,0.0,0.0,no_support,,,0.0,no_support,3,1.0,available,desmocollin 1,3,0.29512833775134156,10588,1.0
KLHL20,TCGA-COAD,-0.2755700324066161,log2_fold_change,1.1001979588175222e-06,0.1803840434473395,0.0,0.0,no_support,unprognostic - unfavorable,unfavorable,0.0,available,3,1.0,available,kelch like family member 20,2,0.2950960108618349,10589,1.0
VAV2,TCGA-COAD,0.2753392717039098,log2_fold_change,0.0203664583506853,0.18025473588931273,0.0,0.0,no_support,unprognostic - unfavorable,unfavorable,0.0,available,3,1.0,available,vav guanine nucleotide exchange factor 2,22,0.2950636839723282,10590,1.0
DTD1,TCGA-COAD,0.9743262920006828,log2_fold_change,5.76323195093419e-30,0.6801577552207927,0.0,0.0,no_support,unprognostic - favorable,favorable,0.0,available,2,0.5,available,D-aminoacyl-tRNA deacylase 1,0,0.2950394388051982,10591,1.0
IMMT,TCGA-COAD,-0.2717723349820904,log2_fold_change,4.5276170376481566e-11,0.17644016292752313,0.0037,0.0037,available,unprognostic - favorable,favorable,0.0,available,3,1.0,available,inner membrane mitochondrial protein,1,0.2950350407318808,10592,1.0
MED28,TCGA-COAD,0.2753272556711597,log2_fold_change,6.894086551799136e-05,0.18012542833128597,0.0,0.0,no_support,unprognostic - favorable,favorable,0.0,available,3,1.0,available,mediator complex subunit 28,3,0.29503135708282147,10593,1.0
EIF3L,TCGA-COAD,-0.2753071209278559,log2_fold_change,7.699379858927507e-07,0.18006077455227257,0.0,0.0,no_support,unprognostic - favorable,favorable,0.0,available,3,1.0,available,eukaryotic translation initiation factor 3 subunit L,7,0.29501519363806816,10594,1.0
VEGFB,TCGA-COAD,-0.2183808715674562,log2_fold_change,0.0103213345434418,0.12387664058964247,0.0561,0.0561,available,unprognostic - unfavorable,unfavorable,0.0,available,3,1.0,available,vascular endothelial growth factor B,3,0.29499416014741064,10595,1.0
CXorf40B,TCGA-COAD,0.2752274432884185,log2_fold_change,1.6095537283926948e-08,0.1799314669942458,0.0,0.0,no_support,,,0.0,no_support,3,1.0,available,,0,0.29498286674856145,10596,1.0
ZNF563,TCGA-COAD,0.2751529592358857,log2_fold_change,0.0009247514844735,0.17986681321523243,0.0,0.0,no_support,unprognostic - unfavorable,unfavorable,0.0,available,3,1.0,available,zinc finger protein 563,1,0.2949667033038081,10597,1.0
PTAR1,TCGA-COAD,-0.2749261043834199,log2_fold_change,6.171261864917342e-05,0.17980215943621905,0.0,0.0,no_support,unprognostic - unfavorable,unfavorable,0.0,available,3,1.0,available,protein prenyltransferase alpha subunit repeat containing 1,0,0.2949505398590548,10598,1.0
MORF4L1,TCGA-COAD,-0.27401764455057,log2_fold_change,1.18343892034259e-05,0.17831512251891124,0.00148,0.00148,available,unprognostic - unfavorable,unfavorable,0.0,available,3,1.0,available,mortality factor 4 like 1,1,0.2949487806297278,10599,1.0
SGPP1,TCGA-COAD,-0.9731180709534364,log2_fold_change,1.2678807559095126e-22,0.6797698325467123,0.0,0.0,no_support,unprognostic - favorable,favorable,0.0,available,2,0.5,available,sphingosine-1-phosphate phosphatase 1,1,0.2949424581366781,10600,1.0
BOLA1,TCGA-COAD,-0.2748908067542226,log2_fold_change,0.0007519318963997,0.17973750565720567,0.0,0.0,no_support,unprognostic - unfavorable,unfavorable,0.0,available,3,1.0,available,bolA family member 1,0,0.2949343764143014,10601,1.0
SGPP2,TCGA-COAD,-0.9725836090738548,log2_fold_change,1.5168229763602104e-12,0.6795758712096722,0.0,0.0,no_support,unprognostic - favorable,favorable,0.0,available,2,0.5,available,sphingosine-1-phosphate phosphatase 2,1,0.29489396780241806,10602,1.0
ZDHHC24,TCGA-COAD,0.2748032321337197,log2_fold_change,3.5427432827948765e-06,0.1795435443201655,0.0,0.0,no_support,unprognostic - unfavorable,unfavorable,0.0,available,3,1.0,available,zDHHC palmitoyltransferase 24,0,0.2948858860800414,10603,1.0
EXD3,TCGA-COAD,-0.2747397748592863,log2_fold_change,0.0003795579077719,0.17947889054115213,0.0,0.0,no_support,unprognostic - unfavorable,unfavorable,0.0,available,3,1.0,available,exonuclease 3'-5' domain containing 3,0,0.29486972263528805,10604,1.0
CCNI,TCGA-COAD,-0.2746140030701021,log2_fold_change,7.53398899664449e-07,0.179284929204112,0.0,0.0,no_support,unprognostic - favorable,favorable,0.0,available,3,1.0,available,cyclin I,0,0.29482123230102797,10605,1.0
TSR2,TCGA-COAD,0.2746038802660724,log2_fold_change,1.6205726127530242e-08,0.1792202754250986,0.0,0.0,no_support,unprognostic - unfavorable,unfavorable,0.0,available,3,1.0,available,TSR2 ribosome maturation factor,0,0.29480506885627467,10606,1.0
