gene_id,cancer_cohort,effect_size,effect_size_label,adjusted_p_value,de_score,cancer_association_raw_score,cancer_association_score,cancer_association_availability,clinical_category,clinical_direction,clinical_score,clinical_availability,cross_cancer_cohort_count,cross_cancer_score,cross_cancer_availability,functional_description,pathway_count,final_score,rank,scoring_version
LPCAT1,TCGA-LUAD,-0.4465888925456607,log2_fold_change,1.82487040691422e-06,0.3996880848409233,0.021466,0.021466,available,unprognostic - favorable,favorable,0.0,available,3,1.0,available,lysophosphatidylcholine acyltransferase 1,5,0.3552885212102308,7738,1.0
CLCN7,TCGA-LUAD,0.4711349218364322,log2_fold_change,1.859803279421111e-12,0.42102308172177166,0.0,0.0,no_support,unprognostic - favorable,favorable,0.0,available,3,1.0,available,Cl-/H+ antiporter 7,1,0.35525577043044293,7739,1.0
PLEKHB1,TCGA-LUAD,-0.471071058087869,log2_fold_change,1.6671855117461178e-07,0.420898315658141,0.0,0.0,no_support,potential prognostic - favorable,favorable,0.5,available,2,0.5,available,pleckstrin homology domain containing B1,0,0.35522457891453524,7740,1.0
PCDHB2,TCGA-LUAD,0.471041622511108,log2_fold_change,7.036253500193564e-05,0.4208359326263256,0.0,0.0,no_support,unprognostic - unfavorable,unfavorable,0.0,available,3,1.0,available,protocadherin beta 2,0,0.3552089831565814,7741,1.0
TUBE1,TCGA-LUAD,-0.4708682507816366,log2_fold_change,1.4271719710073977e-12,0.42071116656269497,0.0,0.0,no_support,unprognostic - favorable,favorable,0.0,available,3,1.0,available,tubulin epsilon 1,0,0.35517779164067376,7742,1.0
NAA15,TCGA-LUAD,0.4707219088365963,log2_fold_change,1.0999268803600604e-16,0.4206487835308796,0.0,0.0,no_support,unprognostic - unfavorable,unfavorable,0.0,available,3,1.0,available,"N-alpha-acetyltransferase 15, NatA auxiliary subunit",0,0.3551621958827199,7743,1.0
MRPS7,TCGA-LUAD,0.4672415303603738,log2_fold_change,6.21664218420641e-13,0.41802869619463506,0.00259,0.00259,available,unprognostic - unfavorable,unfavorable,0.0,available,3,1.0,available,mitochondrial ribosomal protein S7,4,0.35515467404865875,7744,1.0
HDAC4,TCGA-LUAD,-0.4634849860128351,log2_fold_change,5.748359273154228e-10,0.4142857142857143,0.006323,0.006323,available,unprognostic - unfavorable,unfavorable,0.0,available,3,1.0,available,histone deacetylase 4,9,0.35515217857142856,7745,1.0
TBCC,TCGA-LUAD,0.4705711041632394,log2_fold_change,6.96771840496315e-13,0.42052401746724893,0.0,0.0,no_support,unprognostic - favorable,favorable,0.0,available,3,1.0,available,tubulin folding cofactor C,1,0.3551310043668122,7746,1.0
C16orf53,TCGA-LUAD,0.4701966002962017,log2_fold_change,3.0943700429399076e-21,0.4203368683718029,0.0,0.0,no_support,,,0.0,no_support,3,1.0,available,,0,0.35508421709295074,7747,1.0
CAMTA2,TCGA-LUAD,-0.4700916570676305,log2_fold_change,1.6839264037122353e-12,0.4202121023081722,0.0,0.0,no_support,unprognostic - favorable,favorable,0.0,available,3,1.0,available,calmodulin binding transcription activator 2,0,0.35505302557704305,7748,1.0
UMPS,TCGA-LUAD,0.4649830673029456,log2_fold_change,3.5031475647302184e-23,0.4156581409856519,0.00444,0.00444,available,unprognostic - unfavorable,unfavorable,0.0,available,3,1.0,available,uridine monophosphate synthetase,1,0.355024535246413,7749,1.0
TAF12,TCGA-LUAD,0.4657797334210958,log2_fold_change,4.84267237683525e-23,0.41640673736743605,0.003664,0.003664,available,unprognostic - unfavorable,unfavorable,0.0,available,3,1.0,available,TATA-box binding protein associated factor 12,11,0.355017684341859,7750,1.0
NFE2,TCGA-LUAD,-0.4663142767813077,log2_fold_change,0.0001148108209845,0.4170305676855895,0.00294,0.00294,available,unprognostic - favorable,favorable,0.0,available,3,1.0,available,"nuclear factor, erythroid 2",2,0.35499264192139734,7751,1.0
ABHD3,TCGA-LUAD,0.4699004673358562,log2_fold_change,4.0569377274563956e-14,0.41996257018091077,0.0,0.0,no_support,unprognostic - unfavorable,unfavorable,0.0,available,3,1.0,available,"abhydrolase domain containing 3, phospholipase",1,0.3549906425452277,7752,1.0
MPRIP,TCGA-LUAD,-0.4543103867039644,log2_fold_change,1.2949277902186786e-10,0.4063630692451653,0.013593,0.013593,available,unprognostic - unfavorable,unfavorable,0.0,available,3,1.0,available,myosin phosphatase Rho interacting protein,1,0.35498901731129134,7753,1.0
C6orf208,TCGA-LUAD,0.469816702320224,log2_fold_change,4.42416808862442e-05,0.4198378041172801,0.0,0.0,no_support,,,0.0,no_support,3,1.0,available,,0,0.35495945102932003,7754,1.0
FCRLB,TCGA-LUAD,0.4654644594372223,log2_fold_change,0.0007354244776865,0.4160948222083593,0.0037,0.0037,available,,,0.0,no_support,3,1.0,available,Fc receptor like B,0,0.3549487055520898,7755,1.0
C16orf70,TCGA-LUAD,0.4697080533157827,log2_fold_change,1.6482497324522622e-15,0.41977542108546473,0.0,0.0,no_support,,,0.0,no_support,3,1.0,available,,0,0.3549438552713662,7756,1.0
RCVRN,TCGA-LUAD,-0.4589855553727171,log2_fold_change,0.0003733118429717,0.41060511540860883,0.009096,0.009096,available,,,0.0,no_support,3,1.0,available,recoverin,1,0.3549252788521522,7757,1.0
CYHR1,TCGA-LUAD,0.4696085798913927,log2_fold_change,4.701639259953336e-19,0.4195882719900187,0.0,0.0,no_support,,,0.0,no_support,3,1.0,available,,0,0.35489706799750464,7758,1.0
SSX2,TCGA-LUAD,0.4695705775876254,log2_fold_change,2.2702983623289664e-11,0.41946350592638804,0.0,0.0,no_support,,,0.0,no_support,3,1.0,available,SSX family member 2,0,0.354865876481597,7759,1.0
DCST2,TCGA-LUAD,2.124633878558499,log2_fold_change,1.9274611731808654e-26,0.9193387398627574,0.0,0.0,no_support,,,0.0,no_support,2,0.5,available,DC-STAMP domain containing 2,0,0.3548346849656894,7760,1.0
CRADD,TCGA-LUAD,-0.4692356886621684,log2_fold_change,1.8326222624846005e-11,0.419276356830942,0.0,0.0,no_support,unprognostic - favorable,favorable,0.0,available,3,1.0,available,CARD and death domain containing adaptor protein,1,0.3548190892077355,7761,1.0
COPG2,TCGA-LUAD,0.4691866183972362,log2_fold_change,2.734402855790774e-13,0.4192139737991266,0.0,0.0,no_support,unprognostic - favorable,favorable,0.0,available,3,1.0,available,coat protein complex I subunit gamma 2,2,0.3548034934497817,7762,1.0
CCDC109A,TCGA-LUAD,0.4691753924633843,log2_fold_change,1.408261725854262e-16,0.4191515907673113,0.0,0.0,no_support,,,0.0,no_support,3,1.0,available,,0,0.35478789769182784,7763,1.0
MGC57346,TCGA-LUAD,0.4691316866875104,log2_fold_change,1.6235737453459858e-11,0.41908920773549596,0.0,0.0,no_support,,,0.0,no_support,3,1.0,available,,0,0.354772301933874,7764,1.0
