gene_id,cancer_cohort,effect_size,effect_size_label,adjusted_p_value,de_score,cancer_association_raw_score,cancer_association_score,cancer_association_availability,clinical_category,clinical_direction,clinical_score,clinical_availability,cross_cancer_cohort_count,cross_cancer_score,cross_cancer_availability,functional_description,pathway_count,final_score,rank,scoring_version
NFAM1,TCGA-BRCA,0.5677422515952602,log2_fold_change,3.2913511037815626e-08,0.5283903142462296,0.00148,0.00148,available,unprognostic - favorable,favorable,0.0,available,3,1.0,available,NFAT activating protein with ITAM motif 1,1,0.38246757856155744,6388,1.0
HSPA14,TCGA-BRCA,0.531613425770443,log2_fold_change,3.2540856203337662e-34,0.5019527729375713,0.027916,0.027916,available,unprognostic - unfavorable,unfavorable,0.0,available,3,1.0,available,heat shock protein family A (Hsp70) member 14,1,0.3824671932343928,6389,1.0
MDH2,TCGA-BRCA,0.4515536111244405,log2_fold_change,4.360112598584915e-19,0.43447695727933666,0.095334,0.095334,available,unprognostic - unfavorable,unfavorable,0.0,available,3,1.0,available,malate dehydrogenase 2,3,0.38245273931983415,6390,1.0
BRMS1L,TCGA-BRCA,-0.4574385333205386,log2_fold_change,2.714846751104657e-28,0.43922369765066394,0.090581,0.090581,available,unprognostic - unfavorable,unfavorable,0.0,available,3,1.0,available,BRMS1 like transcriptional repressor,0,0.38245117441266596,6391,1.0
CPNE9,TCGA-BRCA,0.5697619344624092,log2_fold_change,2.7266835253264196e-14,0.5297722766328186,0.0,0.0,no_support,,,0.0,no_support,3,1.0,available,copine family member 9,0,0.38244306915820464,6392,1.0
TRUB2,TCGA-BRCA,0.5575780709750671,log2_fold_change,7.568840649732006e-33,0.5213002463498168,0.008326,0.008326,available,unprognostic - unfavorable,unfavorable,0.0,available,3,1.0,available,TruB pseudouridine synthase family member 2,2,0.3824065615874542,6393,1.0
C8orf80,TCGA-BRCA,-0.5690761166818588,log2_fold_change,1.723084395913487e-06,0.5294718500270384,0.0,0.0,no_support,,,0.0,no_support,3,1.0,available,,0,0.38236796250675964,6394,1.0
ETV3,TCGA-BRCA,-0.5543694517743747,log2_fold_change,1.3536802000313544e-10,0.5187165775401069,0.010718,0.010718,available,unprognostic - unfavorable,unfavorable,0.0,available,3,1.0,available,ETS variant transcription factor 3,0,0.38235864438502676,6395,1.0
INPP5B,TCGA-BRCA,-0.5690644988725229,log2_fold_change,6.213666054342852e-46,0.5294117647058824,0.0,0.0,no_support,unprognostic - favorable,favorable,0.0,available,3,1.0,available,inositol polyphosphate-5-phosphatase B,2,0.38235294117647056,6396,1.0
CHURC1,TCGA-BRCA,-0.5687653888595694,log2_fold_change,9.5646446528765e-34,0.5292915940635703,0.0,0.0,no_support,unprognostic - unfavorable,unfavorable,0.0,available,3,1.0,available,churchill domain containing 1,0,0.3823228985158926,6397,1.0
GPR89C,TCGA-BRCA,0.5686037830446669,log2_fold_change,1.1233368083164966e-09,0.5291714234212582,0.0,0.0,no_support,,,0.0,no_support,3,1.0,available,,0,0.3822928558553146,6398,1.0
CRB3,TCGA-BRCA,2.089041508739945,log2_fold_change,2.970307833434528e-19,0.9253139458030403,0.103834,0.103834,available,unprognostic - unfavorable,unfavorable,0.0,available,2,0.5,available,crumbs cell polarity complex component 3,2,0.3822869864507601,6399,1.0
LMOD2,TCGA-BRCA,-0.5684951894321034,log2_fold_change,0.0004526981844862,0.5291113381001021,0.0,0.0,no_support,,,0.0,no_support,3,1.0,available,leiomodin 2,0,0.3822778345250255,6400,1.0
SLC29A1,TCGA-BRCA,-0.5331084632730398,log2_fold_change,1.461309167875323e-20,0.5026137114702878,0.026427,0.026427,available,unprognostic - unfavorable,unfavorable,0.0,available,3,1.0,available,solute carrier family 29 member 1 (Augustine blood group),3,0.38226017786757194,6401,1.0
LETM1,TCGA-BRCA,0.5196840641942124,log2_fold_change,8.539790369483958e-31,0.491377756414108,0.037655,0.037655,available,unprognostic - unfavorable,unfavorable,0.0,available,3,1.0,available,leucine zipper and EF-hand containing transmembrane protein 1,3,0.38225818910352705,6402,1.0
TFEC,TCGA-BRCA,0.5581836579826964,log2_fold_change,3.67433087599212e-07,0.5214204169921288,0.007586,0.007586,available,unprognostic - favorable,favorable,0.0,available,3,1.0,available,transcription factor EC,1,0.3822516042480322,6403,1.0
ZNF510,TCGA-BRCA,-0.5682902309328455,log2_fold_change,5.480504337434663e-28,0.528931082136634,0.0,0.0,no_support,unprognostic - unfavorable,unfavorable,0.0,available,3,1.0,available,zinc finger protein 510,1,0.3822327705341585,6404,1.0
HNRNPL,TCGA-BRCA,0.471688193478224,log2_fold_change,1.365234561132653e-58,0.4516012738088085,0.077277,0.077277,available,unprognostic - unfavorable,unfavorable,0.0,available,3,1.0,available,heterogeneous nuclear ribonucleoprotein L,4,0.3822195684522021,6405,1.0
C14orf143,TCGA-BRCA,0.5682331414223798,log2_fold_change,2.0465129447792413e-27,0.528870996815478,0.0,0.0,no_support,,,0.0,no_support,3,1.0,available,,0,0.38221774920386953,6406,1.0
TGIF1,TCGA-BRCA,0.4577038158294559,log2_fold_change,1.1831506390703263e-14,0.4395842095776002,0.089101,0.089101,available,unprognostic - favorable,favorable,0.0,available,3,1.0,available,TGFB induced factor homeobox 1,2,0.38217130239440006,6407,1.0
IQCC,TCGA-BRCA,0.5651079754993686,log2_fold_change,1.160820502355042e-17,0.5264074986480802,0.00222,0.00222,available,unprognostic - favorable,favorable,0.0,available,3,1.0,available,IQ motif containing C,0,0.3821568746620201,6408,1.0
LOC285780,TCGA-BRCA,-0.5678933454876935,log2_fold_change,7.942248804600002e-10,0.5285705702096978,0.0,0.0,no_support,,,0.0,no_support,3,1.0,available,,0,0.38214264255242447,6409,1.0
SLC29A2,TCGA-BRCA,0.5450482696029031,log2_fold_change,1.4349261898022295e-10,0.511506339001382,0.016836,0.016836,available,unprognostic - favorable,favorable,0.0,available,3,1.0,available,solute carrier family 29 member 2,2,0.3820855847503455,6410,1.0
IL23A,TCGA-BRCA,0.5154438444561729,log2_fold_change,3.28097489575324e-08,0.4880730637505257,0.040205,0.040205,available,unprognostic - unfavorable,unfavorable,0.0,available,3,1.0,available,interleukin 23 subunit alpha,2,0.38206951593763144,6411,1.0
